solver;mzn;dzn;first_objective
chuffed;jobshop.mzn;jobshop_abz5.dzn;5924.0
chuffed;jobshop.mzn;jobshop_abz6.dzn;4924.0
chuffed;jobshop.mzn;jobshop_abz7.dzn;5526.0
chuffed;jobshop.mzn;jobshop_abz8.dzn;5682.0
chuffed;jobshop.mzn;jobshop_abz9.dzn;5764.0
chuffed;jobshop.mzn;jobshop_ft06.dzn;197.0
chuffed;jobshop.mzn;jobshop_ft10.dzn;3194.0
chuffed;jobshop.mzn;jobshop_ft20.dzn;3012.0
chuffed;jobshop.mzn;jobshop_la01.dzn;2443.0
chuffed;jobshop.mzn;jobshop_la02.dzn;2022.0
chuffed;jobshop.mzn;jobshop_la03.dzn;1772.0
chuffed;jobshop.mzn;jobshop_la04.dzn;2290.0
chuffed;jobshop.mzn;jobshop_la05.dzn;2013.0
chuffed;jobshop.mzn;jobshop_la06.dzn;3341.0
chuffed;jobshop.mzn;jobshop_la07.dzn;2731.0
chuffed;jobshop.mzn;jobshop_la08.dzn;2815.0
chuffed;jobshop.mzn;jobshop_la09.dzn;3243.0
chuffed;jobshop.mzn;jobshop_la10.dzn;3208.0
chuffed;jobshop.mzn;jobshop_la11.dzn;4118.0
chuffed;jobshop.mzn;jobshop_la12.dzn;3645.0
chuffed;jobshop.mzn;jobshop_la13.dzn;3911.0
chuffed;jobshop.mzn;jobshop_la14.dzn;4745.0
chuffed;jobshop.mzn;jobshop_la15.dzn;3994.0
chuffed;jobshop.mzn;jobshop_la16.dzn;4191.0
chuffed;jobshop.mzn;jobshop_la17.dzn;3803.0
chuffed;jobshop.mzn;jobshop_la18.dzn;4035.0
chuffed;jobshop.mzn;jobshop_la19.dzn;4474.0
chuffed;jobshop.mzn;jobshop_la20.dzn;4257.0
chuffed;jobshop.mzn;jobshop_la21.dzn;5944.0
chuffed;jobshop.mzn;jobshop_la22.dzn;5504.0
chuffed;jobshop.mzn;jobshop_la23.dzn;6773.0
chuffed;jobshop.mzn;jobshop_la24.dzn;6621.0
chuffed;jobshop.mzn;jobshop_la25.dzn;5736.0
chuffed;jobshop.mzn;jobshop_la26.dzn;8169.0
chuffed;jobshop.mzn;jobshop_la27.dzn;8154.0
chuffed;jobshop.mzn;jobshop_la28.dzn;8773.0
chuffed;jobshop.mzn;jobshop_la29.dzn;7533.0
chuffed;jobshop.mzn;jobshop_la30.dzn;8242.0
chuffed;jobshop.mzn;jobshop_la31.dzn;11479.0
chuffed;jobshop.mzn;jobshop_la32.dzn;13635.0
chuffed;jobshop.mzn;jobshop_la33.dzn;12132.0
chuffed;jobshop.mzn;jobshop_la34.dzn;12107.0
chuffed;jobshop.mzn;jobshop_la35.dzn;11473.0
chuffed;jobshop.mzn;jobshop_la36.dzn;9555.0
chuffed;jobshop.mzn;jobshop_la37.dzn;10146.0
chuffed;jobshop.mzn;jobshop_la38.dzn;8913.0
chuffed;jobshop.mzn;jobshop_la39.dzn;9331.0
chuffed;jobshop.mzn;jobshop_la40.dzn;9077.0
chuffed;jobshop.mzn;jobshop_orb01.dzn;2834.0
chuffed;jobshop.mzn;jobshop_orb02.dzn;3887.0
chuffed;jobshop.mzn;jobshop_orb03.dzn;2307.0
chuffed;jobshop.mzn;jobshop_orb04.dzn;4095.0
chuffed;jobshop.mzn;jobshop_orb05.dzn;3237.0
chuffed;jobshop.mzn;jobshop_orb06.dzn;3386.0
chuffed;jobshop.mzn;jobshop_orb07.dzn;1711.0
chuffed;jobshop.mzn;jobshop_orb08.dzn;1946.0
chuffed;jobshop.mzn;jobshop_orb09.dzn;3762.0
chuffed;jobshop.mzn;jobshop_orb10.dzn;3912.0
chuffed;jobshop.mzn;jobshop_swv01.dzn;4371.0
chuffed;jobshop.mzn;jobshop_swv02.dzn;4510.0
chuffed;jobshop.mzn;jobshop_swv03.dzn;4102.0
chuffed;jobshop.mzn;jobshop_swv04.dzn;3777.0
chuffed;jobshop.mzn;jobshop_swv05.dzn;4255.0
chuffed;jobshop.mzn;jobshop_swv06.dzn;6800.0
chuffed;jobshop.mzn;jobshop_swv07.dzn;6534.0
chuffed;jobshop.mzn;jobshop_swv08.dzn;7108.0
chuffed;jobshop.mzn;jobshop_swv09.dzn;6873.0
chuffed;jobshop.mzn;jobshop_swv10.dzn;6689.0
chuffed;jobshop.mzn;jobshop_swv11.dzn;10330.0
chuffed;jobshop.mzn;jobshop_swv12.dzn;10807.0
chuffed;jobshop.mzn;jobshop_swv13.dzn;10709.0
chuffed;jobshop.mzn;jobshop_swv14.dzn;10375.0
chuffed;jobshop.mzn;jobshop_vw3x3.dzn;586.0
chuffed;jobshop.mzn;jobshop_yn4.dzn;9499.0
chuffed;mrcpsp.mzn;j20_13_10.dzn;44.0
chuffed;mrcpsp.mzn;j20_37_7.dzn;56.0
chuffed;mrcpsp.mzn;j30_13_10.dzn;51.0
chuffed;mrcpsp.mzn;j30_13_2.dzn;54.0
chuffed;mrcpsp.mzn;j30_13_3.dzn;47.0
chuffed;mrcpsp.mzn;j30_13_4.dzn;56.0
chuffed;mrcpsp.mzn;j30_13_6.dzn;46.0
chuffed;mrcpsp.mzn;j30_13_7.dzn;54.0
chuffed;mrcpsp.mzn;j30_21_1.dzn;49.0
chuffed;mrcpsp.mzn;j30_21_10.dzn;53.0
chuffed;mrcpsp.mzn;j30_21_2.dzn;38.0
chuffed;mrcpsp.mzn;j30_21_3.dzn;45.0
chuffed;mrcpsp.mzn;j30_21_5.dzn;43.0
chuffed;mrcpsp.mzn;j30_21_6.dzn;41.0
chuffed;mrcpsp.mzn;j30_21_7.dzn;39.0
chuffed;mrcpsp.mzn;j30_21_8.dzn;60.0
chuffed;mrcpsp.mzn;j30_21_9.dzn;36.0
chuffed;mrcpsp.mzn;j30_29_1.dzn;52.0
chuffed;mrcpsp.mzn;j30_29_10.dzn;46.0
chuffed;mrcpsp.mzn;j30_29_2.dzn;40.0
chuffed;mrcpsp.mzn;j30_29_3.dzn;43.0
chuffed;mrcpsp.mzn;j30_29_4.dzn;37.0
chuffed;mrcpsp.mzn;j30_29_6.dzn;58.0
chuffed;mrcpsp.mzn;j30_29_7.dzn;44.0
chuffed;mrcpsp.mzn;j30_29_8.dzn;56.0
chuffed;mrcpsp.mzn;j30_29_9.dzn;42.0
chuffed;mrcpsp.mzn;j30_33_1.dzn;80.0
chuffed;mrcpsp.mzn;j30_37_1.dzn;84.0
chuffed;mrcpsp.mzn;j30_37_10.dzn;64.0
chuffed;mrcpsp.mzn;j30_37_2.dzn;90.0
chuffed;mrcpsp.mzn;j30_37_3.dzn;71.0
chuffed;mrcpsp.mzn;j30_37_6.dzn;82.0
chuffed;mrcpsp.mzn;j30_37_8.dzn;61.0
chuffed;mrcpsp.mzn;j30_37_9.dzn;75.0
chuffed;mrcpsp.mzn;j30_45_1.dzn;49.0
chuffed;mrcpsp.mzn;j30_45_10.dzn;49.0
chuffed;mrcpsp.mzn;j30_45_2.dzn;70.0
chuffed;mrcpsp.mzn;j30_45_4.dzn;75.0
chuffed;mrcpsp.mzn;j30_45_5.dzn;60.0
chuffed;mrcpsp.mzn;j30_45_6.dzn;60.0
chuffed;mrcpsp.mzn;j30_45_7.dzn;63.0
chuffed;mrcpsp.mzn;j30_45_8.dzn;59.0
chuffed;mrcpsp.mzn;j30_45_9.dzn;60.0
chuffed;mrcpsp.mzn;j30_46_8.dzn;62.0
chuffed;mrcpsp.mzn;j30_53_1.dzn;51.0
chuffed;mrcpsp.mzn;j30_53_10.dzn;50.0
chuffed;mrcpsp.mzn;j30_53_2.dzn;52.0
chuffed;mrcpsp.mzn;j30_53_3.dzn;45.0
chuffed;mrcpsp.mzn;j30_53_4.dzn;55.0
chuffed;mrcpsp.mzn;j30_53_5.dzn;66.0
chuffed;mrcpsp.mzn;j30_53_6.dzn;58.0
chuffed;mrcpsp.mzn;j30_53_7.dzn;47.0
chuffed;mrcpsp.mzn;j30_53_8.dzn;55.0
chuffed;mrcpsp.mzn;j30_53_9.dzn;53.0
chuffed;mrcpsp.mzn;j30_61_1.dzn;41.0
chuffed;mrcpsp.mzn;j30_61_10.dzn;49.0
chuffed;mrcpsp.mzn;j30_61_2.dzn;41.0
chuffed;mrcpsp.mzn;j30_61_3.dzn;47.0
chuffed;mrcpsp.mzn;j30_61_4.dzn;47.0
chuffed;mrcpsp.mzn;j30_61_5.dzn;46.0
chuffed;mrcpsp.mzn;j30_61_6.dzn;42.0
chuffed;mrcpsp.mzn;j30_61_7.dzn;51.0
chuffed;mrcpsp.mzn;j30_61_8.dzn;58.0
chuffed;mrcpsp.mzn;j30_61_9.dzn;56.0
chuffed;mrcpsp.mzn;m5_1_1.dzn;65.0
chuffed;mrcpsp.mzn;m5_5_10.dzn;55.0
chuffed;mrcpsp.mzn;n0_45_1.dzn;41.0
chuffed;mrcpsp.mzn;r4_29_5.dzn;50.0
chuffed;open_stacks_01.mzn;Miller19.dzn;20.0
chuffed;open_stacks_01.mzn;ShawInstances_1.dzn;19.0
chuffed;open_stacks_01.mzn;gp100by100_1.dzn;100.0
chuffed;open_stacks_01.mzn;gp50by50_1.dzn;49.0
chuffed;open_stacks_01.mzn;nrwsLarger4_1.dzn;20.0
chuffed;open_stacks_01.mzn;nwrsSmaller4_1.dzn;10.0
chuffed;open_stacks_01.mzn;problem_10_10_1.dzn;9.0
chuffed;open_stacks_01.mzn;problem_10_20_1.dzn;10.0
chuffed;open_stacks_01.mzn;problem_15_15.dzn;10.0
chuffed;open_stacks_01.mzn;problem_15_15_1.dzn;10.0
chuffed;open_stacks_01.mzn;problem_15_30_1.dzn;15.0
chuffed;open_stacks_01.mzn;problem_20_10_1.dzn;12.0
chuffed;open_stacks_01.mzn;problem_20_20_1.dzn;18.0
chuffed;open_stacks_01.mzn;problem_30_10_1.dzn;16.0
chuffed;open_stacks_01.mzn;problem_30_15.dzn;21.0
chuffed;open_stacks_01.mzn;problem_30_15_1.dzn;21.0
chuffed;open_stacks_01.mzn;problem_30_30_1.dzn;29.0
chuffed;open_stacks_01.mzn;problem_40_20_1.dzn;38.0
chuffed;open_stacks_01.mzn;sp4_1.dzn;17.0
chuffed;open_stacks_01.mzn;tiny.dzn;5.0
chuffed;open_stacks_01.mzn;wbo_10_10_1.dzn;5.0
chuffed;open_stacks_01.mzn;wbo_10_20_1.dzn;8.0
chuffed;open_stacks_01.mzn;wbo_10_30_1.dzn;10.0
chuffed;open_stacks_01.mzn;wbo_15_15_1.dzn;9.0
chuffed;open_stacks_01.mzn;wbo_15_30_1.dzn;13.0
chuffed;open_stacks_01.mzn;wbo_20_10_1.dzn;10.0
chuffed;open_stacks_01.mzn;wbo_20_20_1.dzn;10.0
chuffed;open_stacks_01.mzn;wbo_30_10_1.dzn;15.0
chuffed;open_stacks_01.mzn;wbo_30_15_1.dzn;13.0
chuffed;open_stacks_01.mzn;wbo_30_30_1.dzn;12.0
chuffed;open_stacks_01.mzn;wbop_10_10_1.dzn;9.0
chuffed;open_stacks_01.mzn;wbop_10_20_1.dzn;9.0
chuffed;open_stacks_01.mzn;wbop_10_30_1.dzn;10.0
chuffed;open_stacks_01.mzn;wbop_15_15_1.dzn;8.0
chuffed;open_stacks_01.mzn;wbop_15_30_1.dzn;13.0
chuffed;open_stacks_01.mzn;wbop_20_10_1.dzn;14.0
chuffed;open_stacks_01.mzn;wbop_20_20_1.dzn;12.0
chuffed;open_stacks_01.mzn;wbop_30_10_1.dzn;22.0
chuffed;open_stacks_01.mzn;wbop_30_15_1.dzn;18.0
chuffed;open_stacks_01.mzn;wbop_30_30_1.dzn;19.0
chuffed;open_stacks_01.mzn;wbp_10_10_1.dzn;8.0
chuffed;open_stacks_01.mzn;wbp_10_20_1.dzn;10.0
chuffed;open_stacks_01.mzn;wbp_10_30_1.dzn;10.0
chuffed;open_stacks_01.mzn;wbp_15_15_1.dzn;14.0
chuffed;open_stacks_01.mzn;wbp_15_30_1.dzn;15.0
chuffed;open_stacks_01.mzn;wbp_20_10_1.dzn;14.0
chuffed;open_stacks_01.mzn;wbp_20_20_1.dzn;11.0
chuffed;open_stacks_01.mzn;wbp_30_10_1.dzn;18.0
chuffed;open_stacks_01.mzn;wbp_30_15_1.dzn;21.0
chuffed;open_stacks_01.mzn;wbp_30_30_1.dzn;19.0
chuffed;rcpsp.mzn;J120_12_4.dzn;144.0
chuffed;rcpsp.mzn;J120_13_5.dzn;105.0
chuffed;rcpsp.mzn;J120_13_7.dzn;124.0
chuffed;rcpsp.mzn;J120_14_3.dzn;101.0
chuffed;rcpsp.mzn;J120_14_5.dzn;115.0
chuffed;rcpsp.mzn;J120_16_1.dzn;223.0
chuffed;rcpsp.mzn;J120_18_9.dzn;105.0
chuffed;rcpsp.mzn;J120_19_3.dzn;95.0
chuffed;rcpsp.mzn;J120_19_6.dzn;111.0
chuffed;rcpsp.mzn;J120_21_5.dzn;134.0
chuffed;rcpsp.mzn;J120_26_10.dzn;242.0
chuffed;rcpsp.mzn;J120_26_5.dzn;187.0
chuffed;rcpsp.mzn;J120_26_8.dzn;228.0
chuffed;rcpsp.mzn;J120_27_5.dzn;138.0
chuffed;rcpsp.mzn;J120_27_6.dzn;187.0
chuffed;rcpsp.mzn;J120_27_9.dzn;148.0
chuffed;rcpsp.mzn;J120_29_6.dzn;108.0
chuffed;rcpsp.mzn;J120_31_10.dzn;279.0
chuffed;rcpsp.mzn;J120_31_2.dzn;226.0
chuffed;rcpsp.mzn;J120_32_3.dzn;181.0
chuffed;rcpsp.mzn;J120_32_9.dzn;147.0
chuffed;rcpsp.mzn;J120_33_3.dzn;135.0
chuffed;rcpsp.mzn;J120_33_7.dzn;147.0
chuffed;rcpsp.mzn;J120_34_1.dzn;96.0
chuffed;rcpsp.mzn;J120_34_8.dzn;109.0
chuffed;rcpsp.mzn;J120_36_6.dzn;274.0
chuffed;rcpsp.mzn;J120_37_2.dzn;164.0
chuffed;rcpsp.mzn;J120_37_3.dzn;167.0
